title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
3000 Leagues in Search of Mother,1976,1976,,52,Japan,,Bronze Age (70s-84),0,7.3,1141.0,25.0,"Adventure,Animation,Drama",tt0074002
Mighty Mouse: The New Adventures,1987,1988,2,19,United States,Traditional,Golden Age (85-96),1,7.1,795.0,30.0,"Action,Adventure,Animation",tt0161170
Mika's Diary,2015,2015,1,52,Brazil,Flash,Streaming Era (2010+),0,7.9,52.0,,"Animation,Family",tt6263044
Mike Judge Presents: Tales from the Tour Bus,2017,2018,,21,United States,Traditional,Streaming Era (2010+),1,8.6,1716.0,30.0,"Animation,Biography,Comedy",tt7212136
Mike the Knight,2011,2017,3,104,"Canada, United Kingdom",CGI,Streaming Era (2010+),6,4.7,328.0,,"Animation,Family",tt2320669
Mike Tyson Mysteries,2014,2020,4,70,United States,Traditional,Streaming Era (2010+),6,8.2,6239.0,12.0,"Adventure,Animation,Comedy",tt3038546
"Mike, Lu & Og",1999,2001,2,26,"Russia, US",Traditional,Modern (97-09),2,6.2,1302.0,30.0,"Adventure,Animation,Comedy",tt0235589
Miles from Tomorrowland,2015,2018,3,75,United States,CGI,Streaming Era (2010+),3,6.4,744.0,30.0,"Adventure,Animation,Family",tt3098856
Mighty Max,1993,1994,2,40,United States,Traditional,Golden Age (85-96),1,7.8,2206.0,30.0,"Action,Adventure,Animation",tt0140749
Milo,2021,2021,,,United Kingdom,Flash,Streaming Era (2010+),0,,,,Documentary,tt14941738
Milo Murphy's Law,2016,2019,,26,United States,Traditional,Streaming Era (2010+),3,7.6,4263.0,12.0,"Action,Adventure,Animation",tt5439480
Mimi and Mr. Bobo,1999,2003,2,33,Spain,Traditional,Modern (97-09),4,6.7,23.0,30.0,"Animation,Comedy",tt2167125
Mini Beat Power Rockers,2017,,4,200,Argentina,CGI,Streaming Era (2010+),6,6.9,112.0,5.0,"Animation,Family,Music",tt7478542
Minnie's Bow-Toons,2011,2016,,40,United States,CGI,Streaming Era (2010+),5,5.4,300.0,4.0,"Animation,Comedy,Short",tt3008594
"Mira, Royal Detective",2020,2022,2,54,"United States, Canada",CGI,Streaming Era (2010+),2,7.4,435.0,24.0,"Adventure,Animation,Family",tt9357248
Miraculous: Tales of Ladybug & Cat Noir,2015,,4,104,France,CGI,Streaming Era (2010+),8,7.5,19691.0,20.0,"Action,Adventure,Animation",tt2580046
Mirette Investigates,2016,2017,,52,"France, Spain",Traditional,Streaming Era (2010+),1,7.7,11.0,13.0,Animation,tt6612628
Mighty Express,2020,,7,38,United States,CGI,Streaming Era (2010+),3,3.8,184.0,,"Adventure,Animation,Comedy",tt11860336
Mighty Ducks,1996,1997,1,26,United States,Traditional,Golden Age (85-96),1,6.4,2488.0,30.0,"Action,Adventure,Animation",tt0115269
Miffy's Adventures Big and Small,2015,2017,3,78,"Netherlands, United Kingdom",CGI,Streaming Era (2010+),2,8.0,89.0,7.0,"Animation,Family",tt4980876
Men in Black: The Series,1997,2001,4,53,United States,Traditional,Modern (97-09),4,6.8,4769.0,25.0,"Action,Animation,Comedy",tt0127385
Merlin the Magical Puppy,2001,2001,2,26,United Kingdom,CGI,Modern (97-09),0,6.7,26.0,10,"Animation,Family",tt1113486
Messy Goes to Okido,2015,2019,2,78,United Kingdom,CGI,Streaming Era (2010+),4,6.2,120.0,11.0,"Animation,Comedy,Family",tt3700734
Metalocalypse,2006,2013,,61,United States,Flash,Modern (97-09),7,8.3,19109.0,11.0,"Animation,Comedy,Music",tt0839188
MeteoHeroes,2020,,1,52,Italy,Flash,Streaming Era (2010+),3,8.6,29.0,,"Adventure,Animation,Comedy",tt16532808
Mia and Me,2012,,4,104,Germany,"CGI, Live-action",Streaming Era (2010+),11,6.8,1345.0,20.0,"Adventure,Animation,Family",tt2203143
Mia's Magic Playground,2020,,1,24,British,CGI,Streaming Era (2010+),3,6.0,28.0,7.0,Animation,tt11178244
Mickey Mouse,2013,2019,5,94,United States,Flash,Streaming Era (2010+),6,8.1,4477.0,4,"Adventure,Animation,Comedy",tt2768802
Mickey Mouse Clubhouse,2006,2016,,125,United States,CGI,Modern (97-09),10,5.8,6477.0,30.0,"Adventure,Animation,Comedy",tt0784896
Mickey Mouse Funhouse,2021,,1,22,United States,CGI,Streaming Era (2010+),2,5.3,559.0,11.0,"Action,Adventure,Animation",tt13262134
Mickey Mouse Works,1999,2000,2,25,United States,Traditional,Modern (97-09),1,7.1,514.0,30.0,"Animation,Comedy,Family",tt0198181
Mickey's Mouse Tracks,1992,1995,1,78,United States,Traditional,Golden Age (85-96),3,,,22,Animation,tt32306311
Microscopic Milton,1997,1997,1,26,United Kingdom,Traditional,Modern (97-09),0,8.0,47.0,,Animation,tt0302143
Middle School Moguls,2019,2019,,4,United States,CGI,Streaming Era (2010+),0,8.0,139.0,,"Adventure,Animation,Comedy",tt9165454
Middlemost Post,2021,,1,20,United States,Traditional,Streaming Era (2010+),2,6.6,339.0,,"Adventure,Animation,Comedy",tt13393400
Midnight Patrol: Adventures in the Dream Zone,1990,1990,1,13,"UK, US",Traditional,Golden Age (85-96),0,7.2,139.0,21.0,"Adventure,Animation,Comedy",tt0281480
Miffy and Friends,2003,2007,,39,Netherlands,Stop Motion,Modern (97-09),4,7.2,214.0,,"Animation,Family",tt1614180
Mischief City,2005,2005,1,26,Canada,Flash,Modern (97-09),0,6.3,37.0,,Animation,tt0441582
