title,runtimeMinutes,is_successful,averageRating,technique,era,country
Mighty Mouse: The New Adventures,30.0,0,7.1,Traditional,Golden Age (85-96),United States
Mike Tyson Mysteries,12.0,1,8.2,Traditional,Streaming Era (2010+),United States
"Mike, Lu & Og",30.0,0,6.2,Traditional,Modern (97-09),Coproduction
Miles from Tomorrowland,30.0,0,6.4,CGI,Streaming Era (2010+),United States
Mighty Max,30.0,1,7.8,Traditional,Golden Age (85-96),United States
Mimi and Mr. Bobo,30.0,0,6.7,Traditional,Modern (97-09),Spain
Mini Beat Power Rockers,5.0,0,6.9,CGI,Streaming Era (2010+),Argentina
"Mira, Royal Detective",24.0,0,7.4,CGI,Streaming Era (2010+),Coproduction
Miraculous: Tales of Ladybug & Cat Noir,20.0,1,7.5,CGI,Streaming Era (2010+),France
Mighty Ducks,30.0,0,6.4,Traditional,Golden Age (85-96),United States
Miffy's Adventures Big and Small,7.0,1,8.0,CGI,Streaming Era (2010+),Coproduction
Men in Black: The Series,25.0,0,6.8,Traditional,Modern (97-09),United States
Merlin the Magical Puppy,10.0,0,6.7,CGI,Modern (97-09),United Kingdom
Messy Goes to Okido,11.0,0,6.2,CGI,Streaming Era (2010+),United Kingdom
Mia and Me,20.0,0,6.8,"CGI, Live-action",Streaming Era (2010+),Germany
Mia's Magic Playground,7.0,0,6.0,CGI,Streaming Era (2010+),British
Mickey Mouse,4.0,1,8.1,Flash,Streaming Era (2010+),United States
Mickey Mouse Funhouse,11.0,0,5.3,CGI,Streaming Era (2010+),United States
Mickey Mouse Works,30.0,0,7.1,Traditional,Modern (97-09),United States
Midnight Patrol: Adventures in the Dream Zone,21.0,0,7.2,Traditional,Golden Age (85-96),Coproduction
Moominvalley,22.0,0,7.2,CGI,Streaming Era (2010+),Coproduction
Moonbeam City,22.0,0,6.9,Flash,Streaming Era (2010+),Coproduction
Mot,30.0,0,7.2,Traditional,Golden Age (85-96),France
Monsters vs. Aliens,15.0,0,5.8,CGI,Streaming Era (2010+),United States
Mouk,11.0,0,7.4,Flash,Streaming Era (2010+),France
Mr. Bean: The Animated Series,11.0,1,6.9,"Traditional (first 3 seasons, later seasons use Flash)",Modern (97-09),United Kingdom
Mr. Bogus,30.0,1,7.4,Traditional,Golden Age (85-96),United States
Mr. Men and Little Miss,5.0,1,7.4,Traditional,Golden Age (85-96),United Kingdom
Monsters At Work,22.0,0,7.0,CGI,Streaming Era (2010+),United States
Mission Hill,30.0,1,7.8,Traditional,Modern (97-09),United States
Mofy,5.0,1,7.9,Stop-motion,Streaming Era (2010+),Coproduction
Molly of Denali,30.0,1,8.7,Flash,Streaming Era (2010+),Coproduction
Momma Named Me Sheriff,12.0,0,6.1,Flash,Streaming Era (2010+),United States
Mona the Vampire,23.0,0,6.2,Traditional,Modern (97-09),Coproduction
Mongo Wrestling Alliance,11.0,0,3.9,Flash/CGI,Streaming Era (2010+),United States
Monster by Mistake,22.0,0,5.3,CGI,Golden Age (85-96),Canada
Monster Force,25.0,0,7.0,Traditional,Golden Age (85-96),Coproduction
Mega Man: Fully Charged,11.0,0,4.2,CGI,Streaming Era (2010+),Coproduction
Little Rosey,30.0,0,5.7,Traditional,Golden Age (85-96),Coproduction
Little Shop,30.0,0,4.0,Traditional,Golden Age (85-96),United States
Littlest Pet Shop,30.0,0,6.7,Traditional,Golden Age (85-96),United States
Llama Llama,24.0,0,6.4,Flash,Streaming Era (2010+),United States
Lloyd in Space,30.0,0,6.6,Traditional,Modern (97-09),United States
Loggerheads,25.0,1,8.0,Traditional,Modern (97-09),Germany
LoliRock,22.0,1,7.6,Flash/Traditional,Streaming Era (2010+),France
Lizzie McGuire,30.0,0,6.6,Traditional/Live-Action,Modern (97-09),United States
Liberty's Kids,30.0,1,7.9,Traditional,Modern (97-09),United States
Life with Louie,30.0,1,8.3,Traditional,Golden Age (85-96),United States
Lilo & Stitch: The Series,22.0,0,6.8,Traditional,Modern (97-09),United States
Liquid Television,30.0,1,8.1,Traditional,Golden Age (85-96),United States
Little Bear,24.0,1,7.3,Traditional,Golden Age (85-96),Coproduction
Little Bill,30.0,0,6.3,Traditional,Modern (97-09),United States
Little Charmers,22.0,0,5.5,CGI,Streaming Era (2010+),Canada
Little Demon,26.0,0,7.0,Flash,Streaming Era (2010+),United States
Little Dracula,30.0,0,6.3,Traditional,Golden Age (85-96),United States
Little Ellen,11.0,0,1.8,Flash,Streaming Era (2010+),United States
Mega Babies,30.0,0,2.6,Traditional,Modern (97-09),Coproduction
Los Trotamúsicos,30.0,0,6.1,Traditional,Golden Age (85-96),Spain
Martin Mystery,22.0,1,7.5,Traditional,Modern (97-09),Coproduction
Marvin the Tap-Dancing Horse,30.0,0,6.4,Flash,Modern (97-09),Coproduction
Mary Shelley's Frankenhole,15.0,0,7.1,Stop Motion,Streaming Era (2010+),United States
Mary-Kate and Ashley in Action!,30.0,0,4.0,Traditional,Modern (97-09),United States
Masters of the Universe: Revelation,25.0,0,5.6,Traditional,Streaming Era (2010+),United States
Max & Ruby,30.0,0,6.2,Flash,Modern (97-09),Canada
Max Steel,30.0,0,6.2,CGI,Modern (97-09),Coproduction
Max Steel,23.0,0,6.6,CGI,Streaming Era (2010+),Coproduction
Maxie's World,30.0,0,6.8,Traditional,Golden Age (85-96),United States
McGee and Me!,30.0,0,7.0,Traditional,Golden Age (85-96),United States
Matt Hatter Chronicles,22.0,0,7.0,CGI,Streaming Era (2010+),Coproduction
Martha Speaks,28.0,1,6.7,Flash,Modern (97-09),Coproduction
Marsupilami,30.0,0,6.1,Traditional,Golden Age (85-96),Coproduction
M.O.D.O.K.,22.0,0,6.4,Stop Motion,Streaming Era (2010+),United States
Mad,12.0,0,6.0,"Traditional, Flash, Stop Motion, CGI, Live-action",Streaming Era (2010+),United States
Mad Jack the Pirate,30.0,1,8.5,Traditional,Modern (97-09),United States
Madagascar: A Little Wild,23.0,0,5.9,CGI,Streaming Era (2010+),United States
Mademoiselle Zazie,7.0,0,5.6,CGI,Streaming Era (2010+),France
