premiere_year,total_shows,shows_with_score,successful,avg_rating,success_rate
1948,1,,,,
1949,4,,,,
1953,1,,,,
1954,2,,,,
1955,5,,,,
1956,1,,,,
1957,6,,,,
1958,6,,,,
1959,18,,,,
1960,16,,,,
1961,15,,,,
1962,9,,,,
1963,18,,,,
1964,21,,,,
1965,31,,,,
1966,37,,,,
1967,48,,,,
1968,29,,,,
1969,40,,,,
1970,28,,,,
1971,25,,,,
1972,40,,,,
1973,34,,,,
1974,30,,,,
1975,36,,,,
1976,31,,,,
1977,53,,,,
1978,40,,,,
1979,47,,,,
1980,40,,,,
1981,48,,,,
1982,53,,,,
1983,62,,,,
1984,57,,,,
1985,59,,,,
1986,56,,,,
1987,40,32.0,10.0,7.053125,31.25
1988,29,23.0,5.0,7.0086956521739125,21.73913043478261
1989,29,24.0,4.0,6.895833333333333,16.666666666666664
1990,33,26.0,7.0,6.815384615384615,26.923076923076923
1991,36,31.0,12.0,6.84516129032258,38.70967741935484
1992,38,34.0,13.0,7.311764705882353,38.23529411764706
1993,44,33.0,14.0,7.127272727272727,42.42424242424242
1994,48,39.0,18.0,7.038461538461538,46.15384615384615
1995,47,35.0,12.0,6.985714285714286,34.285714285714285
1996,67,54.0,16.0,7.101851851851852,29.629629629629626
1997,59,48.0,21.0,7.08125,43.75
1998,55,48.0,16.0,6.9875,33.33333333333333
1999,82,69.0,25.0,7.079710144927536,36.231884057971016
2000,57,46.0,14.0,6.947826086956522,30.434782608695656
2001,67,58.0,16.0,6.970689655172414,27.586206896551722
2002,53,43.0,12.0,6.634883720930233,27.906976744186046
2003,68,10.0,8.0,7.43,80.0
2004,66,16.0,5.0,6.85625,31.25
2005,86,39.0,9.0,6.728205128205127,23.076923076923077
2006,81,9.0,0.0,6.588888888888889,0.0
2007,76,18.0,5.0,6.355555555555556,27.77777777777778
2008,66,11.0,7.0,7.054545454545454,63.63636363636363
2009,79,7.0,0.0,5.957142857142857,0.0
2010,80,59.0,29.0,7.089830508474576,49.152542372881356
2011,86,46.0,18.0,6.608695652173913,39.130434782608695
2012,63,20.0,12.0,7.26,60.0
2013,79,57.0,16.0,6.282456140350877,28.07017543859649
2014,65,16.0,8.0,6.94375,50.0
2015,95,68.0,19.0,6.6838235294117645,27.941176470588236
2016,94,25.0,10.0,6.9479999999999995,40.0
2017,84,33.0,9.0,6.703030303030303,27.27272727272727
2018,73,52.0,14.0,6.615384615384615,26.923076923076923
2019,102,42.0,13.0,6.857142857142857,30.952380952380953
2020,87,67.0,26.0,6.937313432835821,38.80597014925373
2021,118,85.0,21.0,6.54,24.705882352941178
2022,106,53.0,14.0,6.656603773584906,26.41509433962264
